codigo_producto;codebar1;Codigo_2;Codigo_3;Codigo_4;Codigo_5;Codigo_6;Codigo_7;Codigo_8;Codigo_9;Codigo_10;Codigo_11;Codigo_12;Codigo_13;Codigo_14;Codigo_15;Codigo_16
3011462089;7790139003418;;;;;;;;;;;;;;;
3011458905;7790070228611;;;;;;;;;;;;;;;
3011458906;7790070231260;;;;;;;;;;;;;;;
3011445180;7798111211042;;;;;;;;;;;;;;;
3011453678;7798111211356;;;;;;;;;;;;;;;
3011446352;7798111210878;;;;;;;;;;;;;;;
3011453224;7798111211561;;;;;;;;;;;;;;;
3011454040;7798111211998;;;;;;;;;;;;;;;
3011452653;7798111211455;;;;;;;;;;;;;;;
3011453679;7798111211677;;;;;;;;;;;;;;;
3011453680;7798111211691;;;;;;;;;;;;;;;
3011453681;7798111211707;;;;;;;;;;;;;;;
3011453682;7798111211684;;;;;;;;;;;;;;;
3011456204;7798111212216;;;;;;;;;;;;;;;
3011446354;7798111211202;;;;;;;;;;;;;;;
3011453683;7798111211837;;;;;;;;;;;;;;;
3011453684;7798111211240;;;;;;;;;;;;;;;
3011453365;7798111211035;;;;;;;;;;;;;;;
3011453686;7798111211547;;;;;;;;;;;;;;;
3011453687;7798111211899;;;;;;;;;;;;;;;
3011452652;7798111211448;;;;;;;;;;;;;;;
3011446433;7798111211097;;;;;;;;;;;;;;;
3011453041;7798111211660;;;;;;;;;;;;;;;
3011453689;7798111211554;;;;;;;;;;;;;;;
3011453690;7798111211400;;;;;;;;;;;;;;;
3011453042;7798111211813;;;;;;;;;;;;;;;
3011453691;7798111211431;;;;;;;;;;;;;;;
3011453692;7798111211226;;;;;;;;;;;;;;;
3011453693;7798111211257;;;;;;;;;;;;;;;
3011453694;7798111211264;;;;;;;;;;;;;;;
3011446353;7798111211134;;;;;;;;;;;;;;;
3011453695;7798111211394;;;;;;;;;;;;;;;
3011453696;7798111211103;;;;;;;;;;;;;;;
3011453697;7798111211615;;;;;;;;;;;;;;;
3011453698;7798111211158;;;;;;;;;;;;;;;
3011453699;7798111211288;;;;;;;;;;;;;;;
3011445307;7798111210885;;;;;;;;;;;;;;;
3011445306;7798111210762;;;;;;;;;;;;;;;
3011453207;7798111211165;;;;;;;;;;;;;;;
3011422312;7798111210618;;;;;;;;;;;;;;;
