codigo_producto;cod_interno;codigo_barras
1059700047;21130;7,79811E+12
1059700048;21131;7,79811E+12
1059700049;21132;7,79811E+12
1059700050;21133;7,79811E+12
1059700051;21134;7,79811E+12
1059700052;21135;7,79811E+12
1059700057;21136;7,79811E+12
1059700058;21137;7,79811E+12
1059700059;21138;7,79811E+12
1059700060;21139;7,79811E+12
1059700063;21140;7,79811E+12
1059700064;21141;7,79811E+12
1059700065;21142;7,79811E+12
1059700066;21143;7,79811E+12
1059700067;21144;7,79811E+12
1059700068;21145;7,79811E+12
1059700069;21146;7,79811E+12
1059700070;21147;7,79811E+12
1059700071;21148;7,79811E+12
1059700072;21149;7,79811E+12
1059700073;21150;7,79811E+12
1059700074;21151;7,79811E+12
1059700075;21152;7,79811E+12
1059700076;21153;7,79811E+12
1059700077;21154;7,79811E+12
1059700078;21155;7,79811E+12
1059700079;21156;7,79811E+12
1059700080;21157;7,79811E+12
1059700081;21158;7,79811E+12
1059700082;21159;7,79811E+12
1059700083;21160;7,79811E+12
1059700084;21161;7,79811E+12
1059700085;21162;7,79811E+12
1059700086;21163;7,79811E+12
1059700087;21164;7,79811E+12
1059700088;21165;7,79811E+12
1059700089;21166;7,79811E+12
1059700090;21167;7,79811E+12
1059700091;21168;7,79811E+12
1059700092;21169;7,79811E+12
1059700093;21170;7,79811E+12
1059700094;21171;7,79811E+12
1059700095;21172;7,79811E+12
1059700096;21173;7,79811E+12
1059700097;21174;7,79811E+12
1059700098;21175;7,79811E+12
1059700099;21176;7,79811E+12
1059700100;21177;7,79811E+12
1059700101;21178;7,79811E+12
1059700102;21179;7,79811E+12
1059700103;21180;7,79811E+12
1059700104;21181;7,79811E+12
1059700105;21182;7,79811E+12
1059700106;21183;7,79811E+12
1059700107;21184;7,79811E+12
1059700108;21185;7,79811E+12
1059700109;21186;7,79811E+12
1059700110;21187;7,79811E+12
1059700111;21188;7,79811E+12
1059700112;21189;7,79811E+12
1059700113;21190;7,79811E+12
1059700114;21191;7,79811E+12
1059700115;21192;7,79811E+12
1059700116;21193;7,79811E+12
1059700117;21194;7,79811E+12
1060000002;21195;7,7981E+12
1060000003;21196;7,7981E+12
1060000004;21197;7,7981E+12
1060000005;21198;7,7981E+12
1060000006;21199;7,7981E+12
1060000008;21200;7,7981E+12
1060000009;21201;7,7981E+12
1060000011;21202;7,7981E+12
1060000014;21203;7,79801E+12
1060000015;21204;7,79801E+12
1060000021;21205;7,79801E+12
1060000022;21206;7,79801E+12
1060000031;21207;7,79801E+12
1060000032;21208;7,7981E+12
1060000036;21209;7,79801E+12
1060000037;21210;7,79801E+12
1060000038;21211;7,79801E+12
1060000039;21212;7,79801E+12
1060000040;21213;7,79801E+12
1060000041;21214;7,79801E+12
1060000044;21215;7,7981E+12
1060000045;21216;7,7981E+12
1060000046;21217;7,7981E+12
1060000047;21218;7,7981E+12
1060000050;21219;7,7981E+12
1060000055;21220;7,7022E+12
1060000056;21221;7,7981E+12
1060000060;21222;7,7981E+12
1060000061;21223;7,7981E+12
1060000062;21224;7,7981E+12
1060000063;21225;7,7981E+12
1060000064;21226;7,7981E+12
1060000065;21227;7,79837E+12
1060000066;21228;7,7981E+12
1060000067;21229;7,7981E+12
1060400000;21230;7,79808E+12
1060400001;21231;7,79808E+12
1060400003;21232;7,79808E+12
1060400013;21233;7,79808E+12
1060400049;21234;7,79808E+12
1060400055;21235;7,79808E+12
1060600000;21236;7,79802E+12
1060600001;21237;7,79802E+12
1060900008;21238;7,79801E+12
1060900010;21239;7,79801E+12
1060900012;21240;7,79801E+12
1061500003;21241;7,79802E+12
1061500007;21242;7,79802E+12
1061500018;21243;7,79802E+12
1061500029;21244;7,79199E+12
1061500030;21245;7,79802E+12
1061500031;21246;7,79802E+12
1061500042;21247;7,79802E+12
1061500043;21248;7,79199E+12
1061500046;21249;7,79199E+12
1061500047;21250;7,79199E+12
1061500048;21251;7,79802E+12
1061600000;21252;7,7981E+12
1061600007;21253;0
1061600008;21254;7,7981E+12
1061600009;21255;7,7981E+12
1061600010;21256;7,7981E+12
1061600011;21257;7,7981E+12
1061600014;21258;7,7981E+12
1061600019;21259;7,7981E+12
1061600020;21260;7,7981E+12
1061600021;21261;7,7981E+12
1061600022;21262;7,7981E+12
1061600023;21263;7,7981E+12
1061600024;21264;7,7981E+12
1061600025;21265;7,7981E+12
1061600026;21266;7,7981E+12
1061600027;21267;7,7981E+12
1061600028;21268;0
1061600029;21269;7,7981E+12
1061600030;21270;7,7981E+12
1061600031;21271;7,7981E+12
1061600032;21272;4,086E+12
1061600033;21273;7,79801E+12
1061600034;21274;7,7981E+12
1061600035;21275;7,7981E+12
1061600036;21276;7,7981E+12
1061600037;21277;7,7981E+12
1061600038;21278;7,7981E+12
1061600039;21279;7,7981E+12
1061600040;21280;7,7981E+12
1061600041;21281;7,7981E+12
1061600042;21282;7,7981E+12
1061600043;21283;7,7981E+12
1061600044;21284;7,7981E+12
1061600047;21285;7,7981E+12
1061600048;21286;7,7981E+12
1061600049;21287;7,7981E+12
1061600050;21288;7,7981E+12
1061600051;21289;7,79801E+12
1061600062;21290;0
1061600063;21291;0
1061600064;21292;7,7981E+12
1061600065;21293;7,7981E+12
1061600066;21294;7,7981E+12
1061600068;21295;7,7981E+12
1061600070;21296;7,7981E+12
1061600071;21297;4,0519E+12
1061600072;21298;7,7981E+12
1061600073;21299;7,7981E+12
1061600074;21300;7,79818E+12
1061600076;21301;7,7981E+12
1061600077;21302;4,0519E+12
1061600086;21303;7,7981E+12
1061600089;21304;0
1061600090;21305;7,79801E+12
1061600091;21306;7,7981E+12
1061600092;21307;7,7981E+12
1061600093;21308;4,0519E+12
1061600094;21309;7,7981E+12
1061600095;21310;7,7981E+12
1061600096;21311;7,7981E+12
1061600097;21312;4,0519E+12
1061600098;21313;7,7981E+12
1061600099;21314;7,7981E+12
1061600100;21315;7,7981E+12
1061600101;21316;7,7981E+12
1061600102;21317;4,25027E+12
1062200001;21318;7,7981E+12
1062500000;21319;7,79421E+12
1062500003;21320;7,79421E+12
1062500007;21321;7,79421E+12
1062500010;21322;7,79421E+12
1062500012;21323;7,79421E+12
1062500013;21324;7,79421E+12
1062500014;21325;7,79421E+12
1062500018;21326;7,79421E+12
1062500019;21327;7,79421E+12
1062500021;21328;7,79421E+12
1062500022;21329;7,79421E+12
1062500023;21330;7,79421E+12
1062500024;21331;7,79421E+12
1062500026;21332;7,79421E+12
1062500028;21333;7,79421E+12
1062500029;21334;7,79421E+12
1062500031;21335;7,79421E+12
1062500033;21336;7,79421E+12
1062500034;21337;7,79802E+12
1062500035;21338;7,79421E+12
1062500038;21339;7,79421E+12
1062500040;21340;7,79421E+12
1062500042;21341;7,79421E+12
1062500044;21342;7,79421E+12
1062500045;21343;7,79421E+12
1062500046;21344;7,79421E+12
1062500047;21345;7,79421E+12
1062500048;21346;7,79421E+12
1062500049;21347;7,79421E+12
1062500050;21348;7,64011E+12
1062500059;21349;7,79421E+12
1062500060;21350;7,79421E+12
1062500061;21351;7,79421E+12
1062500062;21352;7,79421E+12
1062500063;21353;7,79421E+12
1062500064;21354;7,79421E+12
1062500065;21355;7,79421E+12
1062500066;21356;7,79421E+12
1062500067;21357;7,79421E+12
1062600043;21358;7,79808E+12
1062600044;21359;7,79808E+12
1062600045;21360;7,79808E+12
1062800009;21361;7,79535E+12
1062800011;21362;7,79535E+12
1062800012;21363;7,79535E+12
1062800013;21364;7,79535E+12
1062800014;21365;7,79535E+12
1062800017;21366;7,79535E+12
1062800018;21367;7,79535E+12
1062800019;21368;7,79535E+12
1062800020;21369;7,79535E+12
1062800021;21370;7,79535E+12
1062900010;21371;7,79117E+12
1062900011;21372;7,79117E+12
1063000003;21373;7,79817E+12
1063000004;21374;7,79817E+12
1063000005;21375;7,79374E+12
1063000007;21376;7,79374E+12
1063000008;21377;7,79817E+12
1063000010;21378;7,79817E+12
1063000011;21379;7,79817E+12
1063000012;21380;7,79817E+12
1063000013;21381;7,79817E+12
1063000014;21382;7,79817E+12
1063000016;21383;7,79817E+12
1063000017;21384;7,79817E+12
1063000018;21385;7,79817E+12
1063000019;21386;7,79817E+12
1063000020;21387;7,79817E+12
1063000021;21388;7,79374E+12
1063000022;21389;7,79817E+12
1063000023;21390;7,79374E+12
1063300024;21391;7,79812E+12
1063300025;21392;7,79218E+12
1063300026;21393;7,79812E+12
1063300027;21394;7,79812E+12
1063300028;21395;7,79812E+12
1063300029;21396;7,79812E+12
1063300032;21397;7,79218E+12
1063300033;21398;7,79218E+12
1063300035;21399;7,79812E+12
1063300037;21400;7,79812E+12
1063300042;21401;7,79812E+12
1063300043;21402;7,79812E+12
1063300048;21403;7,79811E+12
1063300052;21404;7,79812E+12
1063300056;21405;7,79812E+12
1063300061;21406;7,79812E+12
1063300062;21407;7,79812E+12
1063300065;21408;7,79812E+12
1063300072;21409;7,79812E+12
1063300073;21410;7,79812E+12
1063300077;21411;7,79812E+12
1063300078;21412;7,79812E+12
1063300079;21413;7,79812E+12
1063300081;21414;7,79812E+12
1063300082;21415;7,79812E+12
1063300083;21416;7,79812E+12
1063300085;21417;7,79812E+12
1063300087;21418;7,79812E+12
1063300088;21419;7,79812E+12
1063300089;21420;7,79812E+12
1063300090;21421;7,79812E+12
1063300091;21422;7,79812E+12
1063300094;21423;7,79812E+12
1063300095;21424;7,79812E+12
1063300096;21425;7,79812E+12
1063500016;21426;7,79814E+12
1063500017;21427;7,79814E+12
1063500018;21428;7,79814E+12
1063500019;21429;7,79814E+12
1063500021;21430;7,79814E+12
1063500022;21431;7,79814E+12
1063500023;21432;7,79814E+12
1063500025;21433;7,79814E+12
1063500027;21434;7,79814E+12
1063500028;21435;7,79814E+12
1063500029;21436;7,79814E+12
1063500030;21437;7,79814E+12
1063500031;21438;7,79814E+12
1063500033;21439;7,79814E+12
1063500035;21440;7,79814E+12
1063500036;21441;7,79814E+12
1063500037;21442;7,79814E+12
1063500038;21443;7,79814E+12
1063500039;21444;7,79814E+12
1063500040;21445;7,79814E+12
1063500042;21446;7,79814E+12
1063500044;21447;7,79814E+12
1063500045;21448;7,79814E+12
1063500048;21449;7,79814E+12
1063500049;21450;7,79814E+12
1063500051;21451;7,79814E+12
1063500053;21452;7,79814E+12
1063500055;21453;7,79814E+12
1063500056;21454;7,79814E+12
1063500057;21455;7,79814E+12
1063500058;21456;7,79814E+12
1063500061;21457;7,79814E+12
1063500064;21458;7,79814E+12
1063500067;21459;7,79814E+12
1063500068;21460;7,79814E+12
1063500069;21461;7,79814E+12
1063500072;21462;7,79814E+12
1063500074;21463;7,79814E+12
1063500075;21464;7,79814E+12
1063500077;21465;7,79814E+12
1063500078;21466;7,79814E+12
1063500079;21467;7,79814E+12
1063500081;21468;7,79814E+12
1063500082;21469;7,79814E+12
1063500083;21470;7,79814E+12
1063500085;21471;7,79814E+12
1063500087;21472;7,79814E+12
1063500088;21473;7,79814E+12
1063500090;21474;7,79814E+12
1063500092;21475;7,79814E+12
1063500093;21476;7,79814E+12
1063500094;21477;7,79814E+12
1063500097;21478;7,79814E+12
1063500099;21479;7,79814E+12
1063500100;21480;7,79814E+12
1063500101;21481;7,79814E+12
1063500103;21482;7,79814E+12
1063500104;21483;7,79814E+12
1063500105;21484;7,79814E+12
1063500106;21485;7,79814E+12
1063500107;21486;7,79814E+12
1063500108;21487;7,79814E+12
1063500109;21488;7,79814E+12
1063500110;21489;7,79814E+12
1063500111;21490;7,79814E+12
1063500112;21491;7,79814E+12
1063600002;21492;7,79815E+12
1063600003;21493;7,79084E+12
1063600005;21494;7,79084E+12
1063600006;21495;7,79084E+12
1063900001;21496;3,57706E+12
1063900002;21497;3,57706E+12
1063900003;21498;7,79536E+12
1063900004;21499;7,79536E+12
1063900005;21500;7,79536E+12
1063900006;21501;7,79536E+12
1063900007;21502;3,57706E+12
1063900008;21503;3,57706E+12
1064000000;21504;7,79811E+12
1064000001;21505;7,79811E+12
1064000002;21506;7,79811E+12
1064000003;21507;7,79811E+12
1065100001;21508;7,79812E+12
1065100004;21509;7,79812E+12
1065100005;21510;7,79812E+12
1065100006;21511;7,79812E+12
1065100007;21512;7,79812E+12
1065100008;21513;7,79812E+12
1065100009;21514;7,79812E+12
1065100010;21515;7,79812E+12
1065100011;21516;7,79812E+12
1065100012;21517;7,79812E+12
1065100013;21518;7,79812E+12
1065100014;21519;7,79812E+12
1065100015;21520;7,79812E+12
1065100016;21521;7,79812E+12
1065100017;21522;7,79812E+12
1065100018;21523;7,79812E+12
1065100019;21524;7,79812E+12
1065100021;21525;7,79812E+12
1065100022;21526;7,79812E+12
1065100023;21527;7,79812E+12
1065100024;21528;7,79812E+12
1065100025;21529;7,79812E+12
1065100026;21530;7,79812E+12
1065100027;21531;7,79812E+12
1065100028;21532;7,79812E+12
1065100029;21533;7,79812E+12
1065100030;21534;7,79812E+12
1065100031;21535;7,79812E+12
1065100032;21536;7,79812E+12
1065100033;21537;7,79812E+12
1065100034;21538;7,79812E+12
1065100035;21539;7,79812E+12
1065100036;21540;7,79812E+12
1065100037;21541;7,79812E+12
1065100038;21542;7,79812E+12
1065100039;21543;7,79812E+12
1065100040;21544;7,79812E+12
1065100041;21545;7,79812E+12
1065100042;21546;7,79812E+12
1065100043;21547;7,79812E+12
1065100044;21548;7,79812E+12
1065100045;21549;7,79812E+12
1065100046;21550;7,79812E+12
1065100047;21551;7,79812E+12
1065100048;21552;7,79812E+12
1065100049;21553;7,79812E+12
1065100050;21554;7,79812E+12
1065100051;21555;7,79812E+12
1065100052;21556;7,79812E+12
1065100053;21557;7,79812E+12
1065100054;21558;7,79812E+12
1065100055;21559;7,79812E+12
